"Abbreviation","title","publisher","society","price","pages","charpp","citations","foundingyear","subs","field"
"JoEDC","Journal of Economic Dynamics & Control","Elsevier","yes",1046,1636,2945,636,1979,58,"Theory"
"AoRS","Annals of Regional Science","Springer","no",379,580,2914,100,1967,77,"Urban and Regional"
"JoHoEc","Journal of Housing Economics","Academic Press","no",235,330,2623,78,1982,27,"Specialized"
"JoREFE","Journal of Real Estate Finance and Economics","Kluwer","no",476,630,3432,162,1990,59,"Business"
"CJE","Canadian Journal of Economics","Blackwell","yes",120,1247,2992,556,1967,305,"General"
"JoMS","Journal of Management Studies","Blackwell","no",686,850,3456,654,1964,222,"Management Science"
"Dm","Demography","Pop Assn America","no",85,568,6859,670,1964,413,"Demography"
"LH","Labor History","Carfax","no",165,515,3430,147,1960,479,"Labor"
"SEJ","Southern Economic Journal","Southern Econ. Assn","yes",97,1032,3680,646,1932,524,"General"
"JoES","Journal of Economic Surveys","Blackwell","no",355,674,2835,61,1987,45,"General"
"EI","Economic Inquiry","Oxford Univ Press","no",206,684,4134,684,1962,366,"General"
"IJoF","International Journal of Forecasting","Elsevier","no",437,464,4324,249,1985,57,"Specialized"
"Om","Omega","Elsevier","no",805,780,4028,183,1973,101,"Business"
"OEP","Oxford Economic Papers","Oxford Univ. Press","no",205,767,2924,582,1949,271,"General"
"JASA","Journal of the American Statistical Association","Am. Statistical Assn","yes",310,1260,5664,2800,1971,487,"Econometrics"
"JoEF","Journal of Empirical Finance","Elsevier","no",355,607,3053,37,1845,16,"Finance"
"JoEBO","Journal of Economic Behavior & Organization","Elsevier","no",1154,1380,3330,698,1980,75,"Theory"
"JoTEP","Journal of Transport Economics & Policy","LSE and Univ of Bath","no",133,406,3182,292,1967,95,"Specialized"
"JEP","Journal of Economic Perspectives","Am Ec Assn","yes",47,940,3036,1583,1935,866,"General"
"RoE&S","Review of Economics & Statistics","MIT press","no",190,733,5600,2331,1919,523,"General"
"IME","Insurance  Mathematics & Economics","Elsevier","no",835,745,4263,61,1877,15,"Insurance"
"AEL","Applied Economics Letters","Routledge","no",495,774,5610,89,1994,69,"General"
"AEP","Australian Economic Papers","Blackwell","no",115,495,3792,51,1961,61,"General"
"GaEB","Games and Economic Behavior","Academic Press","no",490,1197,2460,412,1988,45,"Theory"
"DPR","Development Policy Review","Blackwell","no",242,427,2731,36,1982,30,"Development"
"IO","International Organization","MIT","no",130,814,3024,69,1947,532,"Industrial Organization"
"AJoES","American Journal of Economics & Sociology","Blackwell","no",108,578,2331,138,1941,573,"Interdisciplinary"
"ET","Economic Theory","Springer","no",899,1493,2806,264,1992,165,"Theory"
"JoLaE","Journal of Law and Economics","Univ of Chicago Press","no",45,850,2604,1580,1968,542,"Law and Economics"
"EER","European Economic Review","Elsevier","yes",1154,1823,2178,1243,1969,118,"General"
"GC","Growth and Change","Blackwell","no",123,302,2772,97,1969,212,"Development"
"EaP","Economics and Philosophy","Cambridge Univ Pres","no",95,373,2574,121,1984,144,"Interdisciplinary"
"BoIES","Bulletin of Indonesian Economic Studies","ANU Press","no",54,518,2858,98,1964,22,"Specialized"
"SAJoEH","South African Journal of Economic History","So Afr ec history assn","no",20,309,1782,22,1986,59,"Economic History"
"JoFI","Journal of Financial Intermediation","Academic Press","no",240,420,2773,121,1991,48,"Finance"
"ORoEP","Oxford Review of Economic Policy","Oxford Univ Press","no",255,600,4284,124,1985,29,"Public Finance"
"EmpEc","Empirical Economics","Springer","no",464,719,3366,82,1976,24,"General"
"RoIO","Review of Industrial Organization","Kluwer","no",448,792,1820,126,1990,58,"Industrial Organization"
"EcmtrT","Econometric Theory","Cambridge Univ Pres","no",280,899,2948,390,1985,65,"Econometrics"
"JoLE","Journal of Labor Economics","Univ of Chicago Press","no",138,600,2728,733,1983,269,"Labor"
"EcRec","Economic Record","Ec. Society of Australia","yes",50,421,4320,188,1925,183,"General"
"JoPolEc","Journal of Political Economy","Univ of Chicago Press","no",159,1669,2640,6697,1892,737,"General"
"EM","Economic Modelling","Elsevier","no",535,632,2880,89,1983,21,"General"
"JoRS","Journal of Regional Science","Blackwell","no",142,764,2992,397,1961,242,"Urban and Regional"
"EL","Economics Letters","Elsevier","no",1492,1540,3315,930,1978,81,"General"
"JoRE","Journal of Regulatory Economics","Kluwer","no",481,628,3666,98,1991,38,"Industrial Organization"
"AE","Applied Economics","Routledge","no",2120,1683,5445,578,1958,146,"General"
"JoHeEc","Journal of Health Economics","Elsevier","no",810,828,2924,957,1982,144,"Health"
"CEP","Contemporary Economic Policy","Oxford Univ Press","no",168,566,4104,109,1982,290,"Public Finance"
"CPP","Canadian Public Policy","University of Toronto Press","no",100,714,2248,75,1975,52,"Public Finance"
"BJoIR","British Journal of Industrial Relations","Blackwell","no",262,663,3450,294,1963,82,"Specialized"
"JoSE","Journal of Socio-Economics","Elsevier","no",295,791,3024,24,1972,96,"Interdisciplinary"
"JoB","Journal of Business","Univ of Chicago Press","no",74,583,2655,1083,1928,771,"Business"
"JAE","Journal of Applied Econometrics","Wiley","no",870,689,3680,412,1986,81,"Econometrics"
"EoER","Economics of Education Review","Elsevier","no",448,471,5040,224,1982,73,"Specialized"
"JoEH","Journal of Economic History","Cambridge Univ Pres","no",115,1200,4029,737,1941,643,"Economic History"
"JoMCB","Journal of Money Credit & Banking","Ohio State Univ. Press","no",110,860,3168,834,1969,512,"Macroeconomics"
"RoFS","Review of Financial Studies","Oxford Univ. Press","no",175,1235,2604,547,1988,95,"Finance"
"RJoE","Rand Journal of Economics","RAND","no",177,757,3450,1039,1970,339,"Industrial Organization"
"EDQ","Economic Development Quarterly","Sage","no",284,385,3318,47,1987,110,"Development"
"AJoAE","American Journal of Agricultural Economics","Am. Ag. Econ Assn","no",81,1253,4368,1812,1918,267,"Agricultural Economics"
"JITE","Journal of Institutional & Theoretical Economics","Mohr Siebeck","no",211,792,3402,313,1844,33,"General"
"JoEvEc","Journal of Evolutionary Economics","Springer","no",410,526,2989,81,1850,9,"Specialized"
"APEL","Asian-Pacific Economic Literature","Blackwell","no",123,440,3822,21,1854,14,"General"
"EP","Economic Policy","Blackwell","no",170,440,2856,179,1985,56,"Public Finance"
"FS","Finance and Stochastics","Springer","no",274,492,3060,69,1996,31,"Finance"
"JoM","Journal of Macroeconomics","LSU Press","no",85,856,2562,137,1979,183,"Macroeconomics"
"RaEE","Resource and Energy Economics","Elsevier","no",448,416,3010,122,1978,33,"Natural Resources"
"EJ","Economic Journal","Blackwell","no",301,1983,3036,2540,1890,531,"General"
